tau delay,labjack reading
0.0001,0.0010659541003406048
0.0001,0.004299553576856852
0.0001,0.005088236648589373
0.0001,0.006034655962139368
0.0001,0.006113524083048105
0.0001,0.006350128911435604
0.0001,0.006271260790526867
0.0001,0.00516710476949811
0.0001,0.006428997032344341
0.0001,0.006350128911435604
0.0001,0.006428997032344341
0.0001,0.006428997032344341
0.0001,0.005245972890406847
0.0001,0.006507865618914366
0.0001,0.006823338568210602
0.0001,0.006428997032344341
0.0001,0.006428997032344341
0.0001,0.006428997032344341
0.0001,0.005245972890406847
0.0001,0.006507865618914366
0.0001,0.00666560186073184
0.0001,0.006113524083048105
0.0001,0.00516710476949811
0.0001,0.006271260790526867
0.0001,0.006428997032344341
0.0001,0.006428997032344341
0.0001,0.00516710476949811
0.0001,0.006271260790526867
0.0001,0.006271260790526867
0.0001,0.006428997032344341
0.0001,0.00516710476949811
0.0001,0.006428997032344341
0.0001,0.006350128911435604
0.0001,0.006350128911435604
0.0001,0.006428997032344341
0.0001,0.00516710476949811
0.0001,0.006350128911435604
0.0001,0.006350128911435604
0.0001,0.006271260790526867
0.0001,0.006271260790526867
0.0001,0.00516710476949811
0.0001,0.006271260790526867
0.0001,0.006744470447301865
0.0001,0.006350128911435604
0.0001,0.00516710476949811
0.0001,0.006271260790526867
0.0001,0.006350128911435604
0.0001,0.00666560186073184
0.0001,0.006271260790526867
0.0001,0.00516710476949811
0.0001,0.006271260790526867
0.0001,0.00666560186073184
0.0001,0.006271260790526867
0.0001,0.006271260790526867
0.0001,0.005088236648589373
0.0001,0.006271260790526867
0.0001,0.006744470447301865
0.0001,0.006744470447301865
0.0001,0.006350128911435604
0.0001,0.006271260790526867
0.0001,0.00516710476949811
0.0001,0.006823338568210602
0.0001,0.006350128911435604
0.0001,0.006271260790526867
0.0001,0.006271260790526867
0.0001,0.00516710476949811
0.0001,0.006428997032344341
0.0001,0.006271260790526867
0.0001,0.006350128911435604
0.0001,0.006350128911435604
0.0001,0.006350128911435604
0.0001,0.00516710476949811
0.0001,0.006350128911435604
0.0001,0.006271260790526867
0.0001,0.006744470447301865
0.0001,0.006823338568210602
0.0001,0.006744470447301865
0.0001,0.006271260790526867
0.0001,0.00516710476949811
0.0001,0.006192392203956842
0.0001,0.006271260790526867
0.0001,0.006744470447301865
0.0001,0.006350128911435604
0.0001,0.006350128911435604
0.0001,0.006271260790526867
0.0001,0.00516710476949811
0.0001,0.006271260790526867
0.0001,0.006271260790526867
0.0001,0.006823338568210602
0.0001,0.006350128911435604
0.0001,0.006271260790526867
0.0001,0.005088236648589373
0.0001,0.006271260790526867
0.0001,0.006744470447301865
0.0001,0.006744470447301865
0.0001,0.006350128911435604
0.0001,0.006271260790526867
0.0001,0.004930499941110611
0.0001,0.006350128911435604
0.0001,0.006823338568210602
